Designator,Mid X,Mid Y,Layer,Rotation
3TFuse1,124.85,-94.33,top,270
BC1,123.3,-108.15,top,90
BC2,124,-111.35,top,0
BC3,125.325,-114.95,top,0
BD1,118.7,-105.15,top,90
BD2,115.3,-109.35,top,180
BMSC1,132.5,-127.55,top,90
BOOTSW1,189.5825,-150.3953,top,180
BQ296115DSGR1,93.55,-147.05,top,180
BR1,120.275,-109.35,top,0
C1-0,123.5,-131.55,top,270
C2-0,122.25,-129.32,top,90
C4,129.05,-134.81,top,0
C70,177.5825,-143.3953,top,90
C71,191.7749,-122.3039,top,0
C72,150,-126,top,270
CC2-1,124.75,-129.28,top,90
CC3-2,124.1,-126.95,top,0
CC4-3,120.75,-118.2,top,90
CR1,114.5,-115.55,top,0
CR2,114.5,-118.8,top,0
CR3,114.5,-124.05,top,0
CR4,114.5,-126.55,top,0
CR5,114.5,-129.05,top,0
Cellin1,75.5,-123.9692,top,270
ChC1,144.6,-76.25,top,180
ChC2,141.225,-76.25,top,180
ChD1,146.5,-83.05,top,90
ChD2,150.5,-87.55,top,180
ChFet1,139.76,-89.05,top,270
ChR1,151.725,-85.15,top,180
ChR2,154.3,-85.8,top,90
D1,148,-105,top,270
D2,149.55,-109.05,top,180
D15,159.13,-112.55,top,180
D17,164,-104.86,top,90
DC1,168.5,-84.325,top,90
DC2,172,-82.55,top,0
DC3,157.5,-108.75,top,270
DD1,145.5,-105.05,top,90
DD2,143,-115.05,top,0
DD3,157,-103.55,top,90
DFet2,139.76,-101.05,top,90
DFet3,159.76,-101.05,top,270
DFet4,158.24,-94.52,top,270
DFetGate3,159,-105.875,top,90
DFetGate4,160.5,-105.875,top,90
DR1,143,-104.375,top,90
DR2,147.175,-115.05,top,0
DR3,149.15,-116.95,top,0
DR4,155,-103.225,top,90
DR5,154,-110.49,top,90
DRgate1,141.78,-109.95,top,180
DRgate2,143.82,-112.35,top,180
Dfet1,139.74,-93.55,top,90
FB1,156.95,-121.5603,top,180
FB2,156.9,-123.25,top,180
FC1,129.9,-85.075,top,270
FFet1,125.96,-88.5025,top,90
FR1,128.3,-85.05,top,90
FRShunt1,129.05,-143.55,top,0
FUSER2,129.9,-79.6,top,270
H1,75.67,-154.34,top,0
H2,196.07,-154.44,top,0
H3,101.27,-67.84,top,0
H4,182.07,-68.84,top,0
J1,197.5,-142.3,top,0
J2,101,-92.3,top,270
J3,117.75,-66.55,top,180
J4,183.5,-92.3,top,90
J5,183.295,-142.3953,top,90
J6,144.4,-66.55,top,180
J7,185.5,-130.55,top,90
LDR1,140.5,-104.375,top,90
LED1,103.9,-77.55,top,0
LED2,177.6,-105.55,top,180
LED3,157.5,-69.45,top,270
LED5,129.7,-68.65,top,270
LEDR1,105.5,-80.55,top,270
LEDR2,173.5,-104.55,top,90
LEDR3,156.5,-73.55,top,180
LEDR5,128,-72.05,top,180
MCUC11,171.5825,-140.0603,top,270
MCUC12,158.5825,-128.4803,top,90
MCUC13,163.5025,-125,top,0
MCUC14,173.25,-127.875,top,0
MCUC15,163.8325,-139.5603,top,180
MCUC16,159.5825,-128.4803,top,90
MCUC17,159.5825,-136.5603,top,90
MCUC18,158.5825,-136.5603,top,90
MCUC19,159.18,-131.95,top,180
MCUC20,170.0825,-140.3953,top,270
MCUC21,171.75,-126.295,top,90
MCUR1,159.5825,-139.58,top,90
MCUR2,168.4287,-141.0603,top,0
MCUR3,165.75,-142.375,top,90
MCUR4,168.4287,-140.0603,top,0
MCUR5,163.25,-121.875,top,90
MCUR6,160.75,-123.4903,top,90
MCUTVS1,169.5825,-123.5603,top,180
MCUTVS2,165.5825,-123.5603,top,180
MCUTVS3,194.25,-139.05,top,90
MCUTVS4,197,-136.05,top,270
NMOS1,168.5,-107.81,top,180
NRSTSW2,182.5825,-150.3953,top,180
OSCC1,156.9,-129.25,top,270
OSCC2,156.9,-132.75,top,270
