Comment,Designator,Footprint,LCSC Part #,,,,,
SCF9550-45-07,3TFUSE1,FUSE-SMD_3P-L9.5-W5.0_SFK-5030X,C3667292,,,,,
1nF,BC1,1nF_C0805,C94121,,,,,
100pF,"BC2, C4",100pF_C0603,C160903,,,,,
0.47uF,BC3,603,C513577,,,,,
100V,"BD1, BD2, CHD1, D15, DD2, RD1, RD2",100V_Schottky,C698821,,,,,
220nF,"BMSC1, C1-0, C2-0, CC2-1, CC3-2, CC4-3",402,C5159775,,,,,
SW_Push,"BOOT0, RESET",SW_Push_YZA-009,C49108621,,,,,
~,BQ296115DSGR1,BQ296115DSGR,C2864839,,,,,
100,BR1,603,C177347,,,,,
1 uF,"C70, C71, C72, MCUC18",1uF_C0402,C29266,,,,,
1 low 5 high,CELLIN1,CONN-TH_B5B-XH-A-LF-SN,C157991,,,,,
0.1uF,"CHC1, CHC2, DC1, DC2, FC1, PCC1, PCC2, PDC1, PDC2, XC2, XCSHUN1",603,C14663,,,,,
16V,"CHD2, D17, DD1, DD3",16V_Zener,C2105,,,,,
NMOS,"CHFET1, DFET1, DFET2, DFET3, DFET4, FFET1, NMOS1",NMOS,C49435644,,,,, 
10M,"CHR1, DR1, DR4, PCR2, R46, RR2",603,C141675,,,,,
5.1k,"CHR2, DR3, FUSER2, PCR3, PDR3, USBR1, USBR2, XOUT1",5.1k_100mW_R0603,C23186,,,,,
50,"CR1, CR2, CR3, CR4, CR5",50_100mW_R0805,C5355206,,,,,
SMF7V0A,D1,D_SMF,C320558,,,,,
SMF30A,D2,D_SMF,C1973936,,,,,
47nF,DC3,47nF_C0603,C107093,,,,,
10,"DFETGATE3, DFETGATE4",603,C109318,,,,,
1k,"DR2, PDR1",603,C116692,,,,,
1k,DR5,5.1k_R1210,C185762,,,,,
51,"DRGATE1, DRGATE2",51_R1206,C702864,,,,,
2.2k,"FB1, FB2",2.2k_Ferrite_Bead_L0603,C2942905,,,,,
20k,FR1,603,C22173,,,,,
0.001,FRSHUNT1,1m_Shunt_4W,C469381,,,,,
UART Jpins,J1,3P_Pin_Header,C2320,,,,,
XT60PW-M,"J2, J3, J4, J6",AMASS_XT60PW-M,C98732,,,,,
USB_C_Female_USB2_Small,J7,USB_C_DB-108PWB,C5178541,,,,,
10k,"LDR1, R47",603,C98220,,,,,
XZCM2CRK53WA-8VF,"LED1, LED2, LED3, LED5",LED0805-RD,C7280946,,,,,
4k,"LEDR1, LEDR2, LEDR3, LEDR5",4k_R0805,C2828855,,,,,
100 nF,"MCUC11, MCUC12, MCUC13, MCUC14, MCUC15, MCUC17",100nF_C0402,C77020,,,,,
4.7 uF,MCUC16,4.7uF_C0402,C23733,,,,,
0.1 uF,MCUC19,100nF_C0402,C77020,,,,,
2.2 uF,"MCUC20, MCUC21",2.2uF_C0402,C72203,,,,,
10k,"MCUR1, MCUR3, TSR1",10k_62.5mW_R0402,C60490,,,,,
100k,"MCUR2, MCUR4",100k_R0402,C60491,,,,,
4.7k,"MCUR5, MCUR6",4.7k_R0402,C25940,,,,,
PTVSUC3D5VB,"MCUTVS1, MCUTVS2, MCUTVS3, MCUTVS4",5V_TVS_SOD-323_L1.8-W1.3-LS2.5-BI,C918847,,,,,
16 pF,"OSCC1, OSCC2",16pF_C0402,C77590,,,,,
10k,PACKR1,10k_R1206,C1489,,,,,
PMOS,"PCFET1, PDFET1",PMOS,C10884,,,,,
1k,"PCR1, XRC1, XRC2, XRC3, XRC4",1k_R1206,C1469,,,,,
10M,PDR2,603,C141675,,,,,
NPN,Q6,NPN_BJT,C53064208,,,,,
1uF,"RC1, RC3, RC4",1uF_C0402,C29266,,,,,
22nF,RC2,402,C107026,,,,,
300,RR1,300_250mW_R1206,C17887,,,,,
200,"RSHUNT1, RSHUNT2, RSHUNT3, RSHUNT4",200_R1210,C102427,,,,,
EG1218,"S2, S3, S4, S5, S6",SW_EG1218,C273394,,,,,
0.1 uF,"SC1, SC2, XC5",402,C77020,,,,,
100 nF,SC3,402,C77020,,,,,
100,"SRINN1, SRINP1, XRC5, XSHUN1",402,C4350330,,,,,
470 pF,"TSC1, TSC2, TSC3",470pF_C0402,C1537,,,,,
Button,TSRST1,SW_Push_YZA-009,C49108621,,,,,
BQ7695202,U1,BQ7695202PFBR,C3038665,,,,,
STM32F205RETx,U2,LQFP-64_10x10mm_P0.5mm,C66278,,,,,
LM66100DCKR,"U4, U5, U6",LM66100DCKR,C2869734,,,,,
LTC4359-DCB,U7,DFN-6-1EP_3x2mm_P0.5mm_EP1.65x1.35mm,C688241,,,,,
AMS1117-3.3,U9,SOT-223-3_TabPin2,C6186,,,,,
10 uF,"USBC1, USBC2",10uF_C0603,C96446,,,,,
1.5k,USBR3,1.5k_100mW_R0603,C22843,,,,,
X322516MRB4SI,X1,18pF_Oscillator_CRYSTAL-SMD_4P,C70562,,,,,
0.1uF,"XC1, XC3, XC4",402,C77020,,,,,
0.47 uF,XCREG1,0.47 uF_C1210,C309505,,,,,
5,XRREG1,5_1W_R2512,C5123609,,,,,
